0	9.045810	0
1	8.982611	0
2	9.060760	0
3	12.109017	0
4	10.309439	0
5	10.632422	0
6	9.344018	0
7	12.258506	0
8	12.113827	0
9	9.137773	0
10	10.823293	0
11	10.655909	0
12	9.085873	0
13	9.478751	0
14	9.059623	0
15	9.066572	0
16	9.162531	0
17	9.026093	0
18	8.992668	0
19	9.298386	0
20	8.761982	0
21	9.333137	0
22	9.406203	0
23	8.949031	0
24	11.100160	0
25	10.638178	0
26	9.743926	0
27	9.518721	0
28	8.852678	0
29	9.063913	0
30	9.364029	0
31	8.639682	0
32	8.882062	0
33	9.617913	0
34	9.044317	0
35	11.534060	0
36	11.528643	0
37	9.080187	0
38	8.946926	0
39	9.012888	0
40	9.303973	0
41	8.726532	0
42	9.319265	0
43	8.507758	0
44	8.843867	0
45	8.667635	0
46	8.463518	0
47	8.959039	0
48	12.462138	0
49	12.926290	0
50	8.704526	0
51	9.863181	0
52	9.465206	0
53	10.846317	0
54	11.834724	0
55	10.856394	0
56	12.144398	0
57	12.252804	0
58	10.999044	0
59	15.715609	0
60	12.728275	0
61	12.923397	0
62	10.391753	0
63	12.982144	0
64	11.586936	0
65	14.937529	0
66	11.888050	0
67	11.947212	0
68	12.945587	0
69	9.822927	0
70	11.967620	0
71	9.930754	0
72	10.680963	0
73	9.833747	0
74	8.593590	0
75	8.755193	0
76	8.957697	0
77	9.558107	0
78	8.433236	0
79	8.971610	0
80	8.520580	0
81	9.120979	0
82	8.735581	0
83	8.587110	0
84	9.281135	0
85	9.476939	0
86	9.994112	0
87	10.163562	0
88	9.823646	0
89	9.235473	0
90	11.659044	0
91	10.135789	0
92	10.677211	0
93	10.129737	0
94	9.994696	0
95	10.496297	0
96	11.764140	0
97	11.373620	0
98	13.631085	0
99	12.180926	0
100	12.145026	0
101	9.870395	0
102	10.348825	0
103	10.999717	0
104	13.168316	0
105	12.011068	0
106	10.816578	0
107	12.572526	0
108	9.001499	0
109	11.263932	0
110	11.810753	0
111	9.988460	0
112	8.733990	0
113	8.833422	0
114	9.050060	0
115	9.085824	0
116	9.349816	0
117	9.276361	0
118	9.252205	0
119	9.218450	0
120	10.876783	0
121	10.522420	0
122	9.176111	0
123	9.852270	0
124	8.860860	0
125	8.704481	0
126	8.781254	0
127	9.203350	0
128	9.973099	0
129	8.884506	0
130	8.481393	0
131	11.162526	0
132	10.676888	0
133	8.717062	0
134	8.585059	0
135	10.967817	0
