0	4.281502	0	0
1	3.868042	0	0
2	3.849697	0	0
3	3.869315	0	0
4	3.770531	0	0
5	4.166307	0	0
6	3.957990	0	0
7	3.479559	0	0
8	3.928494	0	0
9	4.409510	0	0
10	3.613729	0	0
11	3.928003	0	0
12	4.289487	0	0
13	3.861610	0	0
14	4.003574	0	0
15	4.102719	0	0
16	3.834720	0	0
17	3.816717	0	0
18	3.693838	0	0
19	3.918256	0	0
20	4.173651	0	0
21	3.752717	0	0
22	4.015566	0	0
23	3.997634	0	0
24	4.749764	0	0
25	3.923225	0	0
26	3.865728	0	0
27	4.187697	0	0
28	3.931460	0	0
29	4.772476	0	0
30	4.450026	0	0
31	4.643856	0	0
32	4.029052	0	0
33	3.855399	0	0
34	3.950445	0	0
35	4.068155	0	0
36	3.966485	0	0
37	4.281221	0	0
38	4.767417	0	0
39	3.871218	0	0
40	3.863363	0	0
41	4.268708	0	0
42	4.038369	0	0
43	4.316978	0	0
44	3.594994	0	0
45	3.808892	0	0
46	3.764008	0	0
47	4.328480	0	0
48	4.032919	0	0
49	4.139467	0	0
50	3.970242	0	0
51	3.841342	0	0
52	4.481494	0	0
53	3.804203	0	0
54	3.881026	0	0
55	3.946709	0	0
56	3.946789	0	0
57	3.957158	0	0
58	4.114641	0	0
59	3.905612	0	0
60	4.792483	0	0
61	3.855488	0	0
62	4.051223	0	0
63	4.039842	0	0
64	3.833117	0	0
65	4.579156	0	0
66	3.871368	0	0
67	4.070468	0	0
68	3.947771	0	0
69	3.946559	0	0
70	3.907997	0	0
71	4.290749	0	0
72	4.698748	0	0
73	4.109562	0	0
74	4.298113	0	0
75	4.147893	0	0
76	4.263629	0	0
77	4.094514	0	0
78	4.266123	0	0
79	3.785288	0	0
80	3.962228	0	0
81	4.350981	0	0
82	4.670176	0	0
83	4.012982	0	0
84	4.077673	0	0
85	3.873513	0	0
86	4.015827	0	0
87	3.970282	0	0
88	4.152261	0	0
89	3.875947	0	0
90	4.459543	0	0
91	4.018592	0	0
92	4.090536	0	0
93	3.903318	0	0
94	3.836373	0	0
95	4.094644	0	0
96	3.880626	0	0
97	4.053006	0	0
98	4.392469	0	0
99	3.889983	0	0
100	3.921151	0	0
101	4.160597	0	0
102	3.957158	0	0
103	4.215670	0	0
104	4.163502	0	0
105	3.864015	0	0
106	4.147181	0	0
107	3.773436	0	0
108	3.865357	0	0
109	4.371760	0	0
110	3.790377	0	0
111	4.015587	0	0
112	4.075308	0	0
113	3.991532	0	0
114	3.995719	0	0
115	3.836152	0	0
116	3.901654	0	0
117	3.839809	0	0
118	4.073044	0	0
119	4.074486	0	0
120	3.761945	0	0
121	4.701625	0	0
122	4.549100	0	0
123	3.909820	0	0
124	3.815955	0	0
125	3.983427	0	0
126	3.986322	0	0
127	4.223374	0	0
128	4.001079	0	0
129	3.920840	0	0
130	3.869775	0	0
131	4.369847	0	0
132	3.892538	0	0
133	3.941088	0	0
134	4.252548	0	0
135	4.681818	0	0
136	3.878261	0	0
137	4.609452	0	0
138	3.926931	0	0
139	4.649988	0	0
140	3.773266	0	0
141	4.305596	0	0
142	4.049139	0	0
143	3.912645	0	0
144	3.913747	0	0
145	3.956867	0	0
146	4.239444	0	0
147	4.041204	0	0
148	3.944324	0	0
149	3.764149	0	0
150	4.253089	0	0
151	3.793152	0	0
152	4.083153	0	0
153	4.042527	0	0
154	3.739282	0	0
155	3.828318	0	0
156	4.348025	0	0
157	3.934516	0	0
158	4.075879	0	0
159	5.195363	0	0
160	3.637483	0	0
161	4.218194	0	0
162	4.012310	0	0
163	3.773166	0	0
164	4.127125	0	0
165	3.770761	0	0
166	3.978527	0	0
167	3.747678	0	0
168	3.817868	0	0
169	3.992414	0	0
170	3.610021	0	0
171	3.944534	0	0
172	4.134689	0	0
173	3.878171	0	0
174	4.078694	0	0
175	3.746987	0	0
176	4.014424	0	0
177	4.081921	0	0
178	3.823539	0	0
179	4.678381	0	0
180	4.212333	0	0
181	4.090908	0	0
182	3.900071	0	0
183	3.794545	0	0
184	4.296329	0	0
185	4.034562	0	0
186	4.348387	0	0
187	3.758167	0	0
188	3.831764	0	0
189	4.622347	0	0
190	3.737689	0	0
191	3.763147	0	0
192	4.248060	0	0
193	3.927824	0	0
194	4.052806	0	0
195	3.816526	0	0
196	3.894571	0	0
197	3.949734	0	0
198	4.338197	0	0
199	3.875136	0	0
